batter,innings,total_runs,total_balls,avg_runs,fours,sixes,fifties,hundreds,strike_rate,runs_Death,runs_Middle,runs_Powerplay,strike_rate_Death,strike_rate_Middle,strike_rate_Powerplay,form_avg_last10,best_venue,best_venue_runs,best_venue_sr,pvs_batting,cluster,archetype
A Ashish Reddy,23,280,193,12.17,16,15,0,0,145.08,214.0,61.0,5.0,146.58,148.78,83.33,13.9,"Rajiv Gandhi International Stadium, Uppal",93.0,120.78,31.45,4.0,Utility Batter
A Badoni,35,634,472,18.11,46,24,4,0,134.32,380.0,236.0,18.0,161.7,118.0,48.65,22.6,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",55.0,183.33,37.81,4.0,Utility Batter
A Mishra,55,381,417,6.93,31,5,0,0,91.37,260.0,120.0,1.0,104.84,73.17,20.0,7.8,"Rajiv Gandhi International Stadium, Uppal",50.0,111.11,15.65,0.0,Powerplay Dominator
A Symonds,36,974,745,27.06,74,41,6,1,130.74,293.0,609.0,72.0,160.99,126.61,87.8,13.7,Feroz Shah Kotla,54.0,180.0,42.42,2.0,Anchor / Run Machine
AB de Villiers,170,5181,3400,30.48,414,253,44,3,152.38,1868.0,2572.0,741.0,225.33,131.43,120.68,18.4,Holkar Cricket Stadium,89.0,193.48,66.63,3.0,Explosive Hitter
AC Gilchrist,80,2069,1483,25.86,239,92,13,2,139.51,63.0,621.0,1385.0,196.88,146.12,134.99,27.0,Kingsmead,143.0,198.61,51.29,1.0,Finisher / Death Specialist
AD Mathews,41,724,573,17.66,44,29,1,0,126.35,425.0,289.0,10.0,155.11,102.48,58.82,14.3,Feroz Shah Kotla,103.0,151.47,33.52,4.0,Utility Batter
AD Russell,104,2488,1407,23.92,171,209,11,0,176.83,1324.0,1123.0,41.0,196.15,157.06,241.18,22.9,"Wankhede Stadium, Mumbai",161.0,223.61,57.92,1.0,Finisher / Death Specialist
AJ Finch,90,2092,1626,23.24,214,78,15,0,128.66,282.0,899.0,911.0,158.43,136.63,115.32,18.3,"Brabourne Stadium, Mumbai",65.0,196.97,44.34,1.0,Finisher / Death Specialist
AK Markram,42,995,764,23.69,73,35,5,0,130.24,224.0,671.0,100.0,183.61,126.37,90.09,20.2,"Brabourne Stadium, Mumbai",110.0,180.33,41.59,4.0,Utility Batter
AL Menaria,23,401,354,17.43,24,18,0,0,113.28,97.0,296.0,8.0,124.36,110.45,100.0,16.1,"Punjab Cricket Association Stadium, Mohali",68.0,128.3,30.41,4.0,Utility Batter
AM Nayar,50,672,573,13.44,55,20,0,0,117.28,310.0,297.0,65.0,158.97,96.74,91.55,5.9,Kingsmead,60.0,153.85,25.75,4.0,Utility Batter
