bowler,matches,total_wickets,total_runs,total_overs,avg_wickets,economy,bowling_avg,pvs_bowling
A Ashish Reddy,20,19,400,43.66666666666666,0.95,9.16,21.05,38.9
A Kumble,42,49,1089,160.83333333333334,1.1666666666666667,6.77,22.22,65.84
A Mishra,162,183,4193,561.8333333333334,1.1296296296296295,7.46,22.91,85.05
A Mithun,16,8,477,48.0,0.5,9.94,59.62,13.11
A Nehra,88,121,2537,318.0,1.375,7.98,20.97,69.25
A Nortje,46,62,1614,175.66666666666666,1.3478260869565215,9.19,26.03,44.75
A Singh,23,31,639,78.83333333333333,1.3478260869565215,8.11,20.61,50.92
A Symonds,30,23,694,87.83333333333333,0.7666666666666667,7.9,30.17,47.17
A Zampa,20,30,562,69.83333333333333,1.5,8.05,18.73,52.08
AB Agarkar,42,33,1174,130.33333333333334,0.7857142857142857,9.01,35.58,36.7
AB Dinda,75,82,2103,252.66666666666663,1.0933333333333333,8.32,25.65,56.65
AC Thomas,15,16,416,52.5,1.0666666666666669,7.92,26.0,47.44
AD Mathews,44,28,1095,131.83333333333334,0.6363636363636364,8.31,39.11,40.56
AD Russell,112,125,2691,282.8333333333333,1.1160714285714286,9.51,21.53,55.9
AJ Tye,30,48,1005,114.16666666666669,1.6,8.8,20.94,47.79
AM Nayar,19,9,323,38.16666666666666,0.4736842105263157,8.46,35.89,36.94
AN Ahmed,17,15,515,57.333333333333336,0.8823529411764706,8.98,34.33,34.05
AR Patel,148,131,3824,517.5,0.8851351351351351,7.39,29.19,72.98
AS Joseph,22,22,707,72.33333333333333,1.0,9.77,32.14,29.17
AS Rajpoot,29,24,844,88.33333333333333,0.8275862068965517,9.55,35.17,30.25
Abhishek Sharma,26,11,396,45.0,0.4230769230769231,8.8,36.0,34.19
Ankit Sharma,21,12,453,61.16666666666666,0.5714285714285714,7.41,37.75,46.23
Anureet Singh,22,21,636,68.66666666666667,0.9545454545454546,9.26,30.29,34.4
Arshdeep Singh,65,84,2097,227.33333333333331,1.2923076923076924,9.22,24.96,49.17
Avesh Khan,62,81,2010,222.5,1.3064516129032258,9.03,24.81,50.38
Azhar Mahmood,23,31,707,89.5,1.3478260869565215,7.9,22.81,51.87
B Kumar,176,195,5051,651.6666666666666,1.1079545454545454,7.75,25.9,83.44
B Lee,38,30,1126,145.83333333333334,0.7894736842105263,7.72,37.53,46.98
BA Bhatt,15,13,408,49.333333333333336,0.8666666666666667,8.27,31.38,41.37
BA Stokes,38,31,1023,114.83333333333331,0.8157894736842105,8.91,33.0,38.33
BB Sran,24,20,767,80.5,0.8333333333333334,9.53,38.35,28.29
BCJ Cutting,17,12,430,46.833333333333336,0.7058823529411765,9.18,35.83,31.01
BJ Hodge,20,18,310,39.0,0.9,7.95,17.22,51.33
BW Hilfenhaus,17,23,497,62.0,1.3529411764705883,8.02,21.61,49.76
Basil Thampi,25,26,862,86.83333333333333,1.04,9.93,33.15,28.06
Bipul Sharma,28,22,581,71.0,0.7857142857142857,8.18,26.41,46.06
C Green,29,20,675,73.16666666666667,0.6896551724137931,9.23,33.75,32.99
C Sakariya,19,20,610,71.0,1.0526315789473684,8.59,30.5,40.19
C de Grandhomme,19,7,323,36.0,0.3684210526315789,8.97,46.14,27.51
CH Gayle,38,19,755,92.33333333333331,0.5,8.18,39.74,39.74
CH Morris,81,107,2377,287.6666666666667,1.3209876543209875,8.26,22.21,63.48
CJ Anderson,22,14,525,49.5,0.6363636363636364,10.61,37.5,17.71
CJ Jordan,34,36,1111,112.33333333333331,1.0588235294117647,9.89,30.86,31.33
CR Brathwaite,16,16,384,42.333333333333336,1.0,9.07,24.0,37.87
CR Woakes,21,31,674,73.33333333333333,1.4761904761904765,9.19,21.74,40.64
CV Varun,70,85,2042,265.0,1.2142857142857142,7.71,24.02,63.46
D Wiese,15,17,447,49.333333333333336,1.1333333333333333,9.06,26.29,37.17
DE Bollinger,27,43,716,96.0,1.5925925925925926,7.46,16.65,60.82
DJ Bravo,158,207,4436,520.0,1.3101265822784811,8.53,21.43,80.6
DJ Hooda,33,10,535,62.16666666666666,0.303030303030303,8.61,53.5,28.19
DJ Hussey,26,10,485,52.833333333333336,0.3846153846153846,9.18,48.5,25.17
DJG Sammy,19,14,354,39.333333333333336,0.7368421052631579,9.0,25.29,37.56
DL Chahar,81,79,2243,278.1666666666667,0.9753086419753086,8.06,28.39,57.25
DL Vettori,34,34,894,129.5,1.0,6.9,26.29,60.02
DP Nannes,29,38,815,107.66666666666669,1.3103448275862069,7.57,21.45,56.8
DR Sams,16,15,528,60.0,0.9375,8.8,35.2,35.3
DR Smith,46,27,825,89.83333333333333,0.5869565217391305,9.18,30.56,36.16
DS Kulkarni,92,91,2513,297.8333333333333,0.9891304347826086,8.44,27.62,56.45
DT Christian,49,40,1218,147.16666666666666,0.8163265306122449,8.28,30.45,46.87
DW Steyn,95,105,2583,363.6666666666667,1.105263157894737,7.1,24.6,72.59
GB Hogg,21,25,585,76.33333333333333,1.1904761904761905,7.66,23.4,52.64
GJ Maxwell,79,41,1311,157.33333333333334,0.5189873417721519,8.33,31.98,45.95
HH Pandya,93,70,2196,236.33333333333331,0.7526881720430108,9.29,31.37,43.09
HV Patel,103,151,3215,360.3333333333333,1.4660194174757282,8.92,21.29,66.36
Harbhajan Singh,160,161,4101,569.3333333333334,1.00625,7.2,25.47,82.08
Harmeet Singh,28,31,747,91.5,1.1071428571428572,8.16,24.1,48.96
Harpreet Brar,39,25,907,113.16666666666669,0.6410256410256411,8.01,36.28,43.92
Harshit Rana,19,27,590,64.16666666666667,1.4210526315789471,9.19,21.85,39.82
I Sharma,110,96,3255,384.8333333333333,0.8727272727272727,8.46,33.91,54.52
IC Pandey,24,19,609,77.0,0.7916666666666666,7.91,32.05,45.5
IK Pathan,101,99,2711,340.5,0.9801980198019802,7.96,27.38,62.44
Imran Tahir,59,86,1729,219.33333333333331,1.4576271186440677,7.88,20.1,63.8
Iqbal Abdulla,48,45,1125,153.33333333333334,0.9375,7.34,25.0,58.7
J Botha,34,27,818,115.66666666666669,0.7941176470588235,7.07,30.3,55.41
J Suchith,21,20,604,70.0,0.9523809523809524,8.63,30.2,39.96
J Yadav,20,9,447,65.0,0.45,6.88,49.67,45.33
JA Morkel,87,96,2409,287.1666666666667,1.103448275862069,8.39,25.09,58.95
JC Archer,40,49,1210,157.83333333333334,1.225,7.67,24.69,56.61
JD Ryder,16,11,314,39.333333333333336,0.6875,7.98,28.55,44.83
JD Unadkat,104,109,3219,355.1666666666667,1.0480769230769231,9.06,29.53,53.46
JEC Franklin,15,9,225,25.166666666666668,0.6,8.94,25.0,37.27
JH Kallis,89,74,2348,290.3333333333333,0.8314606741573034,8.09,31.73,54.58
JJ Bumrah,133,182,3840,512.5,1.368421052631579,7.49,21.1,85.37
JO Holder,46,59,1489,165.83333333333334,1.2826086956521738,8.98,25.24,46.42
JP Behrendorff,17,22,563,61.0,1.2941176470588236,9.23,25.59,36.89
JP Duminy,49,23,847,113.0,0.4693877551020408,7.5,36.83,47.93
JP Faulkner,60,76,1849,206.33333333333331,1.2666666666666666,8.96,24.33,50.26
JR Hazlewood,27,36,830,100.5,1.3333333333333333,8.26,23.06,49.46
JR Hopes,20,14,562,60.0,0.7,9.37,40.14,27.82
Joginder Sharma,15,13,421,42.66666666666666,0.8666666666666667,9.87,32.38,26.43
K Gowtham,35,22,825,98.0,0.6285714285714286,8.42,37.5,39.11
K Rabada,80,126,2652,304.8333333333333,1.575,8.7,21.05,63.65
KA Pollard,107,81,2200,248.0,0.7570093457943925,8.87,27.16,50.82
KH Pandya,117,80,2644,353.6666666666667,0.6837606837606838,7.48,33.05,60.7
KK Ahmed,57,78,1918,212.66666666666663,1.368421052631579,9.02,24.59,49.99
KK Cooper,25,36,789,96.0,1.44,8.22,21.92,50.32
KV Sharma,82,82,2130,249.16666666666663,1.0,8.55,25.98,54.42
KW Richardson,15,21,479,55.833333333333336,1.4,8.58,22.81,43.79
Kartik Tyagi,20,16,720,70.33333333333333,0.8,10.24,45.0,18.22
Kuldeep Yadav,82,90,2413,291.0,1.0975609756097562,8.29,26.81,57.96
L Balaji,73,85,2083,252.0,1.1643835616438356,8.27,24.51,58.17
LH Ferguson,45,57,1451,159.66666666666666,1.2666666666666666,9.09,25.46,44.94
LR Shukla,27,17,458,52.333333333333336,0.6296296296296297,8.75,26.94,39.7
LS Livingstone,22,11,395,43.0,0.5,9.19,35.91,30.69
Lalit Yadav,19,11,430,48.0,0.5789473684210527,8.96,39.09,31.41
M Ashwin,44,35,1182,145.0,0.7954545454545454,8.15,33.77,45.66
M Jansen,21,22,732,75.16666666666667,1.0476190476190477,9.74,33.27,28.96
