batter,innings,total_runs,total_balls,avg_runs,fours,sixes,fifties,hundreds,strike_rate
A Ashish Reddy,23,280,193,12.17,16,15,0,0,145.08
A Badoni,35,634,472,18.11,46,24,4,0,134.32
A Mishra,55,381,417,6.93,31,5,0,0,91.37
A Symonds,36,974,745,27.06,74,41,6,1,130.74
AB de Villiers,170,5181,3400,30.48,414,253,44,3,152.38
AC Gilchrist,80,2069,1483,25.86,239,92,13,2,139.51
AD Mathews,41,724,573,17.66,44,29,1,0,126.35
AD Russell,104,2488,1407,23.92,171,209,11,0,176.83
AJ Finch,90,2092,1626,23.24,214,78,15,0,128.66
AK Markram,42,995,764,23.69,73,35,5,0,130.24
AL Menaria,23,401,354,17.43,24,18,0,0,113.28
AM Nayar,50,672,573,13.44,55,20,0,0,117.28
AM Rahane,171,4642,3757,27.15,479,103,32,2,123.56
AP Tare,27,339,272,12.56,40,11,1,0,124.63
AR Patel,112,1653,1259,14.76,107,79,3,0,131.29
AT Rayudu,185,4348,3391,23.5,359,173,23,1,128.22
Abdul Samad,39,579,394,14.85,37,36,0,0,146.95
Abhishek Sharma,61,1377,883,22.57,128,73,7,0,155.95
Anuj Rawat,21,318,267,15.14,26,14,1,0,119.1
Azhar Mahmood,21,388,303,18.48,39,13,2,0,128.05
B Chipli,21,280,250,13.33,28,7,1,0,112.0
B Kumar,65,306,325,4.71,30,3,0,0,94.15
B Sai Sudharsan,25,1034,735,41.36,95,32,7,1,140.68
BA Stokes,43,935,695,21.74,81,32,4,2,134.53
BB McCullum,109,2882,2176,26.44,293,130,15,2,132.44
BJ Hodge,63,1400,1112,22.22,122,43,6,0,125.9
C Green,28,707,457,25.25,62,32,3,1,154.7
C de Grandhomme,21,303,224,14.43,18,18,0,0,135.27
CA Lynn,42,1329,941,31.64,132,66,10,0,141.23
CA Pujara,22,390,390,17.73,50,4,1,0,100.0
CH Gayle,141,4997,3331,35.44,408,359,38,6,150.02
CH Morris,49,618,397,12.61,41,35,2,0,155.67
CJ Anderson,29,538,421,18.55,40,31,3,0,127.79
CL White,45,971,757,21.58,76,38,6,0,128.27
D Padikkal,64,1559,1262,24.36,170,42,10,1,123.53
DA Miller,123,2924,2094,23.77,207,134,14,1,139.64
DA Warner,184,6567,4682,35.69,663,236,66,4,140.26
DB Das,22,304,260,13.82,23,16,0,0,116.92
DB Ravi Teja,25,375,315,15.0,35,9,1,0,119.05
DJ Bravo,110,1560,1196,14.18,120,66,5,0,130.43
DJ Hooda,96,1466,1127,15.27,96,61,8,0,130.08
DJ Hussey,61,1322,1070,21.67,90,60,5,0,123.55
DJG Sammy,20,295,241,14.75,15,18,1,0,122.41
DP Conway,22,924,651,42.0,100,30,9,0,141.94
DPMD Jayawardene,78,1808,1462,23.18,200,40,11,1,123.67
DR Smith,88,2385,1755,27.1,245,117,17,0,135.9
DS Kulkarni,20,104,108,5.2,7,2,0,0,96.3
DT Christian,41,460,394,11.22,23,19,0,0,116.75
DW Steyn,33,167,160,5.06,14,3,0,0,104.38
Dhruv Jurel,22,347,229,15.77,29,16,2,0,151.53
E Lewis,26,654,477,25.15,62,36,4,0,137.11
EJG Morgan,74,1406,1147,19.0,112,64,5,0,122.58
F du Plessis,138,4571,3345,33.12,422,166,37,0,136.65
G Gambhir,151,4217,3394,27.93,492,59,36,0,124.25
GC Smith,29,739,664,25.48,94,9,4,0,111.3
GH Vihari,23,284,319,12.35,23,1,0,0,89.03
GJ Bailey,36,663,541,18.42,59,19,2,0,122.55
GJ Maxwell,128,2772,1761,21.66,233,160,18,0,157.41
Gurkeerat Singh,32,511,422,15.97,55,11,2,0,121.09
H Klaasen,32,993,584,31.03,56,64,7,1,170.03
