match_id,batting_team,batter,runs,balls_faced,fours,sixes
335982,Kolkata Knight Riders,BB McCullum,158,73,10,13
335982,Kolkata Knight Riders,DJ Hussey,12,12,1,0
335982,Kolkata Knight Riders,Mohammad Hafeez,5,3,1,0
335982,Kolkata Knight Riders,RT Ponting,20,20,1,1
335982,Kolkata Knight Riders,SC Ganguly,10,12,2,0
335982,Royal Challengers Bangalore,AA Noffke,9,10,1,0
335982,Royal Challengers Bangalore,B Akhil,0,2,0,0
335982,Royal Challengers Bangalore,CL White,6,10,0,0
335982,Royal Challengers Bangalore,JH Kallis,8,7,0,1
335982,Royal Challengers Bangalore,MV Boucher,7,9,1,0
335982,Royal Challengers Bangalore,P Kumar,18,15,1,2
335982,Royal Challengers Bangalore,R Dravid,2,3,0,0
335982,Royal Challengers Bangalore,SB Joshi,3,6,0,0
335982,Royal Challengers Bangalore,V Kohli,1,5,0,0
335982,Royal Challengers Bangalore,W Jaffer,6,16,0,0
335982,Royal Challengers Bangalore,Z Khan,3,8,0,0
335983,Chennai Super Kings,JDP Oram,13,10,0,1
335983,Chennai Super Kings,MEK Hussey,116,54,8,9
335983,Chennai Super Kings,ML Hayden,25,16,4,1
335983,Chennai Super Kings,MS Dhoni,2,3,0,0
335983,Chennai Super Kings,PA Patel,15,10,3,0
335983,Chennai Super Kings,S Badrinath,31,14,3,2
335983,Chennai Super Kings,SK Raina,32,13,2,3
335983,Kings XI Punjab,IK Pathan,3,5,0,0
335983,Kings XI Punjab,JR Hopes,71,33,10,3
335983,Kings XI Punjab,K Goel,24,19,2,1
335983,Kings XI Punjab,KC Sangakkara,54,33,5,2
335983,Kings XI Punjab,SM Katich,21,17,0,1
335983,Kings XI Punjab,Yuvraj Singh,23,13,1,2
335984,Delhi Daredevils,G Gambhir,58,46,7,1
335984,Delhi Daredevils,S Dhawan,52,41,8,0
335984,Delhi Daredevils,V Sehwag,12,4,3,0
335984,Rajasthan Royals,D Salunkhe,26,20,4,0
335984,Rajasthan Royals,DS Lehmann,1,2,0,0
335984,Rajasthan Royals,M Kaif,9,19,0,0
335984,Rajasthan Royals,M Rawat,2,4,0,0
335984,Rajasthan Royals,RA Jadeja,29,23,2,2
335984,Rajasthan Royals,SK Trivedi,3,7,0,0
335984,Rajasthan Royals,SK Warne,14,13,2,0
335984,Rajasthan Royals,SR Watson,21,15,4,0
335984,Rajasthan Royals,T Kohli,7,12,0,1
335984,Rajasthan Royals,YK Pathan,10,5,2,0
335985,Mumbai Indians,AM Nayar,20,14,1,1
335985,Mumbai Indians,DJ Thornely,0,5,0,0
335985,Mumbai Indians,Harbhajan Singh,2,2,0,0
335985,Mumbai Indians,L Ronchi,8,10,2,0
335985,Mumbai Indians,PR Shah,19,23,2,0
335985,Mumbai Indians,RV Uthappa,48,38,5,1
335985,Mumbai Indians,SM Pollock,28,12,3,2
335985,Mumbai Indians,ST Jayasuriya,29,16,5,1
335985,Royal Challengers Bangalore,B Akhil,3,5,0,0
335985,Royal Challengers Bangalore,JH Kallis,25,24,0,1
335985,Royal Challengers Bangalore,LRPL Taylor,23,12,1,2
335985,Royal Challengers Bangalore,MV Boucher,39,19,4,2
335985,Royal Challengers Bangalore,R Dravid,32,33,4,0
335985,Royal Challengers Bangalore,S Chanderpaul,16,11,3,0
335985,Royal Challengers Bangalore,V Kohli,23,14,3,1
335986,Deccan Chargers,A Symonds,32,39,2,2
335986,Deccan Chargers,AC Gilchrist,23,21,1,2
335986,Deccan Chargers,AS Yadav,10,10,0,1
335986,Deccan Chargers,RG Sharma,0,3,0,0
335986,Deccan Chargers,RP Singh,1,2,0,0
335986,Deccan Chargers,SB Bangar,14,10,1,1
335986,Deccan Chargers,SB Styris,6,7,1,0
335986,Deccan Chargers,VVS Laxman,0,6,0,0
335986,Deccan Chargers,WPUJC Vaas,0,1,0,0
335986,Deccan Chargers,Y Venugopal Rao,14,13,1,0
335986,Kolkata Knight Riders,BB McCullum,5,5,1,0
335986,Kolkata Knight Riders,DJ Hussey,38,43,1,3
335986,Kolkata Knight Riders,LR Shukla,4,6,0,0
335986,Kolkata Knight Riders,Mohammad Hafeez,13,13,1,1
335986,Kolkata Knight Riders,RT Ponting,0,1,0,0
335986,Kolkata Knight Riders,SC Ganguly,14,29,1,0
335986,Kolkata Knight Riders,WP Saha,10,17,1,0
335987,Kings XI Punjab,B Lee,0,2,0,0
335987,Kings XI Punjab,DPMD Jayawardene,2,4,0,0
335987,Kings XI Punjab,IK Pathan,12,19,0,1
335987,Kings XI Punjab,JR Hopes,16,16,2,0
335987,Kings XI Punjab,K Goel,26,21,3,2
335987,Kings XI Punjab,KC Sangakkara,20,8,3,1
335987,Kings XI Punjab,PP Chawla,24,10,4,0
335987,Kings XI Punjab,S Sohal,4,4,0,0
335987,Kings XI Punjab,WA Mota,1,1,0,0
335987,Kings XI Punjab,Yuvraj Singh,57,34,6,3
335987,Rajasthan Royals,DS Lehmann,17,16,3,0
335987,Rajasthan Royals,Kamran Akmal,15,9,2,1
335987,Rajasthan Royals,M Kaif,5,7,1,0
335987,Rajasthan Royals,RA Jadeja,36,24,5,1
335987,Rajasthan Royals,SR Watson,76,48,5,5
335987,Rajasthan Royals,YK Pathan,7,5,1,0
335988,Deccan Chargers,A Symonds,12,13,2,0
335988,Deccan Chargers,AC Gilchrist,8,9,0,1
335988,Deccan Chargers,AS Yadav,12,7,2,0
335988,Deccan Chargers,RG Sharma,66,36,6,4
335988,Deccan Chargers,RP Singh,1,1,0,0
335988,Deccan Chargers,SB Bangar,8,14,0,0
335988,Deccan Chargers,Shahid Afridi,2,7,0,0
335988,Deccan Chargers,VVS Laxman,2,6,0,0
335988,Deccan Chargers,WPUJC Vaas,12,5,0,1
335988,Deccan Chargers,Y Venugopal Rao,14,22,2,0
335988,Delhi Daredevils,G Gambhir,12,9,2,0
335988,Delhi Daredevils,S Dhawan,25,28,3,0
335988,Delhi Daredevils,V Sehwag,94,41,10,6
335989,Chennai Super Kings,JDP Oram,5,2,1,0
335989,Chennai Super Kings,MEK Hussey,5,9,1,0
335989,Chennai Super Kings,ML Hayden,81,44,12,2
335989,Chennai Super Kings,MS Dhoni,30,16,4,1
335989,Chennai Super Kings,PA Patel,14,11,3,0
335989,Chennai Super Kings,S Badrinath,2,1,0,0
335989,Chennai Super Kings,SK Raina,53,37,3,3
335989,Mumbai Indians,A Nehra,1,2,0,0
335989,Mumbai Indians,AM Nayar,45,19,6,1
335989,Mumbai Indians,DJ Bravo,24,16,2,1
335989,Mumbai Indians,Harbhajan Singh,28,14,1,3
335989,Mumbai Indians,L Ronchi,2,3,0,0
335989,Mumbai Indians,MA Khote,9,5,0,1
335989,Mumbai Indians,RV Uthappa,43,35,6,1
335989,Mumbai Indians,SM Pollock,17,15,0,1
335989,Mumbai Indians,ST Jayasuriya,20,11,4,0
335990,Deccan Chargers,A Symonds,117,52,11,7
335990,Deccan Chargers,AC Gilchrist,13,9,3,0
335990,Deccan Chargers,AS Yadav,16,9,3,0
335990,Deccan Chargers,RG Sharma,36,30,3,1
335990,Deccan Chargers,Shahid Afridi,10,4,1,1
335990,Deccan Chargers,VVS Laxman,16,16,3,0
335990,Rajasthan Royals,D Salunkhe,1,1,0,0
335990,Rajasthan Royals,GC Smith,71,45,9,2
335990,Rajasthan Royals,Kamran Akmal,12,9,1,1
335990,Rajasthan Royals,M Kaif,34,16,2,3
335990,Rajasthan Royals,Pankaj Singh,4,3,0,0
335990,Rajasthan Royals,RA Jadeja,1,3,0,0
335990,Rajasthan Royals,SK Warne,22,8,2,2
335990,Rajasthan Royals,SR Watson,4,6,0,0
335990,Rajasthan Royals,YK Pathan,61,28,4,6
335991,Kings XI Punjab,B Lee,16,7,2,1
335991,Kings XI Punjab,DPMD Jayawardene,12,7,0,1
335991,Kings XI Punjab,IK Pathan,6,3,0,0
335991,Kings XI Punjab,K Goel,18,21,1,1
335991,Kings XI Punjab,KC Sangakkara,94,56,13,1
335991,Kings XI Punjab,PP Chawla,0,1,0,0
335991,Kings XI Punjab,RR Sarwan,7,9,0,0
335991,Kings XI Punjab,S Sohal,0,4,0,0
335991,Kings XI Punjab,S Sreesanth,0,1,0,0
335991,Kings XI Punjab,VRV Singh,4,2,1,0
335991,Kings XI Punjab,Yuvraj Singh,18,9,1,1
335991,Mumbai Indians,A Nehra,2,9,0,0
335991,Mumbai Indians,AM Nayar,2,3,0,0
335991,Mumbai Indians,DJ Bravo,23,21,4,0
335991,Mumbai Indians,DS Kulkarni,2,16,0,0
335991,Mumbai Indians,Harbhajan Singh,0,1,0,0
335991,Mumbai Indians,L Ronchi,11,8,1,1
335991,Mumbai Indians,MA Khote,8,7,1,0
335991,Mumbai Indians,RV Uthappa,21,17,2,1
335991,Mumbai Indians,SM Pollock,22,21,2,1
335991,Mumbai Indians,SS Tiwary,17,10,2,1
335991,Mumbai Indians,ST Jayasuriya,1,7,0,0
335992,Rajasthan Royals,GC Smith,49,42,8,0
335992,Rajasthan Royals,M Kaif,4,6,1,0
335992,Rajasthan Royals,M Rawat,0,2,0,0
335992,Rajasthan Royals,SR Watson,61,41,8,2
335992,Rajasthan Royals,YK Pathan,21,12,5,0
335992,Royal Challengers Bangalore,JH Kallis,11,10,2,0
335992,Royal Challengers Bangalore,LRPL Taylor,44,20,6,3
335992,Royal Challengers Bangalore,MV Boucher,4,10,0,0
335992,Royal Challengers Bangalore,P Kumar,34,30,2,3
335992,Royal Challengers Bangalore,R Dravid,0,1,0,0
335992,Royal Challengers Bangalore,R Vinay Kumar,1,1,0,0
335992,Royal Challengers Bangalore,S Chanderpaul,2,9,0,0
335992,Royal Challengers Bangalore,SB Joshi,3,8,0,0
335992,Royal Challengers Bangalore,V Kohli,13,14,0,1
335992,Royal Challengers Bangalore,Z Khan,17,17,2,0
335993,Chennai Super Kings,ML Hayden,70,48,6,3
335993,Chennai Super Kings,MS Dhoni,43,27,3,2
335993,Chennai Super Kings,PA Patel,21,27,3,0
335993,Kolkata Knight Riders,AB Agarkar,11,8,1,0
335993,Kolkata Knight Riders,BB McCullum,24,11,2,2
335993,Kolkata Knight Riders,DJ Hussey,0,2,0,0
335993,Kolkata Knight Riders,I Sharma,4,3,0,0
335993,Kolkata Knight Riders,LR Shukla,42,33,4,1
335993,Kolkata Knight Riders,M Kartik,3,3,0,0
335993,Kolkata Knight Riders,Mohammad Hafeez,16,24,1,0
335993,Kolkata Knight Riders,RT Ponting,0,1,0,0
335993,Kolkata Knight Riders,SC Ganguly,12,19,1,0
335993,Kolkata Knight Riders,WP Saha,27,16,5,1
335994,Deccan Chargers,AC Gilchrist,109,47,9,10
335994,Deccan Chargers,VVS Laxman,37,26,4,1
335994,Mumbai Indians,AM Nayar,34,19,1,3
335994,Mumbai Indians,AM Rahane,0,7,0,0
335994,Mumbai Indians,DJ Bravo,34,17,3,1
335994,Mumbai Indians,L Ronchi,13,11,3,0
335994,Mumbai Indians,MA Khote,7,10,1,0
335994,Mumbai Indians,RV Uthappa,6,4,1,0
335994,Mumbai Indians,SM Pollock,31,31,3,1
335994,Mumbai Indians,ST Jayasuriya,18,21,2,0
335995,Delhi Daredevils,G Gambhir,18,14,3,0
335995,Delhi Daredevils,KD Karthik,24,14,2,1
335995,Delhi Daredevils,MF Maharoof,18,12,2,0
335995,Delhi Daredevils,MK Tiwary,39,34,6,0
335995,Delhi Daredevils,R Bhatia,17,15,1,1
335995,Delhi Daredevils,S Dhawan,0,3,0,0
335995,Delhi Daredevils,Shoaib Malik,19,17,3,0
335995,Delhi Daredevils,V Sehwag,6,6,1,0
335995,Delhi Daredevils,VY Mahesh,6,5,0,0
335995,Kings XI Punjab,B Lee,1,3,0,0
335995,Kings XI Punjab,DPMD Jayawardene,15,14,2,0
335995,Kings XI Punjab,IK Pathan,10,6,2,0
335995,Kings XI Punjab,K Goel,1,3,0,0
335995,Kings XI Punjab,KC Sangakkara,4,2,1,0
335995,Kings XI Punjab,SM Katich,75,51,11,1
335995,Kings XI Punjab,TM Srivastava,7,9,0,0
335995,Kings XI Punjab,Yuvraj Singh,40,29,3,2
335996,Chennai Super Kings,MEK Hussey,47,37,3,2
335996,Chennai Super Kings,ML Hayden,13,19,2,0
335996,Chennai Super Kings,MS Dhoni,65,30,9,3
335996,Chennai Super Kings,PA Patel,21,17,2,1
335996,Chennai Super Kings,SK Raina,28,17,1,2
335996,Royal Challengers Bangalore,B Akhil,2,3,0,0
335996,Royal Challengers Bangalore,B Chipli,8,11,1,0
335996,Royal Challengers Bangalore,DW Steyn,1,2,0,0
335996,Royal Challengers Bangalore,JH Kallis,14,10,2,0
335996,Royal Challengers Bangalore,LRPL Taylor,53,34,3,3
335996,Royal Challengers Bangalore,MV Boucher,4,6,0,0
335996,Royal Challengers Bangalore,P Kumar,6,5,0,0
335996,Royal Challengers Bangalore,R Dravid,0,1,0,0
335996,Royal Challengers Bangalore,V Kohli,12,7,2,0
335996,Royal Challengers Bangalore,W Jaffer,50,33,5,2
335996,Royal Challengers Bangalore,Z Khan,8,6,1,0
335997,Kolkata Knight Riders,AB Agarkar,2,6,0,0
335997,Kolkata Knight Riders,BB McCullum,1,2,0,0
335997,Kolkata Knight Riders,DB Das,29,20,5,1
335997,Kolkata Knight Riders,DJ Hussey,17,20,3,0
335997,Kolkata Knight Riders,LR Shukla,40,22,4,2
335997,Kolkata Knight Riders,M Kartik,10,11,1,0
335997,Kolkata Knight Riders,Mohammad Hafeez,2,6,0,0
335997,Kolkata Knight Riders,RT Ponting,19,31,1,0
335997,Kolkata Knight Riders,SC Ganguly,4,2,1,0
335997,Mumbai Indians,AM Rahane,4,10,1,0
335997,Mumbai Indians,DJ Bravo,64,52,8,1
335997,Mumbai Indians,MK Pandey,0,3,0,0
335997,Mumbai Indians,RV Uthappa,37,37,5,0
335997,Mumbai Indians,ST Jayasuriya,18,10,3,1
335998,Delhi Daredevils,G Gambhir,86,53,11,1
335998,Delhi Daredevils,KD Karthik,2,4,0,0
335998,Delhi Daredevils,MK Tiwary,11,9,1,0
335998,Delhi Daredevils,R Bhatia,8,5,1,0
335998,Delhi Daredevils,S Dhawan,50,33,4,3
335998,Delhi Daredevils,Shoaib Malik,6,4,1,0
335998,Delhi Daredevils,V Sehwag,24,12,3,1
335998,Royal Challengers Bangalore,JH Kallis,54,44,6,1
335998,Royal Challengers Bangalore,LRPL Taylor,29,15,3,2
335998,Royal Challengers Bangalore,MV Boucher,31,17,2,2
335998,Royal Challengers Bangalore,P Kumar,6,5,1,0
